---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
81094,75585120,kernelbase.FillConsoleOutputCharacterW #403
81098,755850c0,kernelbase.FillConsoleOutputAttribute #401
8109c,75585ad0,kernelbase.WriteConsoleOutputW #1986
810a0,75585810,kernelbase.WriteConsoleOutputCharacterW #1985
810a4,755857e0,kernelbase.WriteConsoleOutputCharacterA #1984
810a8,75584e50,kernelbase.CreateConsoleScreenBuffer #205
810ac,75585780,kernelbase.WriteConsoleOutputA #1982
810b0,75585750,kernelbase.WriteConsoleInputW #1981
810b4,755856b0,kernelbase.WriteConsoleInputA #1980
810b8,75586960,kernelbase.SetConsoleWindowInfo #1619
810bc,75586910,kernelbase.SetConsoleTextAttribute #1616
810c0,75585da0,kernelbase.FlushConsoleInputBuffer #438
810c4,75585df0,kernelbase.GenerateConsoleCtrlEvent #460
810c8,75585eb0,kernelbase.GetConsoleCursorInfo #514
810cc,755857b0,kernelbase.WriteConsoleOutputAttribute #1983
810d0,75586810,kernelbase.SetConsoleScreenBufferInfoEx #1614
810d4,755860a0,kernelbase.GetConsoleScreenBufferInfo #525
810d8,75586110,kernelbase.GetConsoleScreenBufferInfoEx #526
810dc,755867b0,kernelbase.SetConsoleOutputCP #1613
810e0,75586640,kernelbase.SetConsoleCursorPosition #1605
810e4,75586350,kernelbase.GetLargestConsoleWindowSize #645
810e8,75585300,kernelbase.ReadConsoleOutputA #1422
810ec,75585330,kernelbase.ReadConsoleOutputAttribute #1423
810f0,75585360,kernelbase.ReadConsoleOutputCharacterA #1424
810f4,75585390,kernelbase.ReadConsoleOutputCharacterW #1425
810f8,75585680,kernelbase.ReadConsoleOutputW #1426
810fc,75586470,kernelbase.ScrollConsoleScreenBufferA #1582
81100,75586520,kernelbase.ScrollConsoleScreenBufferW #1583
81104,75586550,kernelbase.SetConsoleActiveScreenBuffer #1601
81108,755865a0,kernelbase.SetConsoleCP #1602
8110c,755865f0,kernelbase.SetConsoleCursorInfo #1604
81110,755868c0,kernelbase.SetConsoleScreenBufferSize #1615
81118,75583d90,kernelbase.GetConsoleOriginalTitleA #521
8111c,75583ee0,kernelbase.GetConsoleTitleW #529
81120,75583db0,kernelbase.GetConsoleOriginalTitleW #522
81124,75583de0,kernelbase.GetConsoleTitleA #528
81128,75584190,kernelbase.SetConsoleTitleA #1617
8112c,75584250,kernelbase.SetConsoleTitleW #1618
81134,755869c0,kernelbase.SetCurrentConsoleFontEx #1621
81138,75584170,kernelbase.SetConsoleNumberOfCommandsW #1612
8113c,755840d0,kernelbase.SetConsoleNumberOfCommandsA #1611
81140,755866f0,kernelbase.SetConsoleHistoryInfo #1607
81144,75586690,kernelbase.SetConsoleDisplayMode #1606
81148,755863f0,kernelbase.GetNumberOfConsoleMouseButtons #691
8114c,755862c0,kernelbase.GetCurrentConsoleFontEx #536
81150,75586260,kernelbase.GetCurrentConsoleFont #535
81154,75585f10,kernelbase.GetConsoleDisplayMode #515
81158,75583430,kernelbase.AddConsoleAliasA #31
8115c,755835a0,kernelbase.AddConsoleAliasW #32
81160,75583620,kernelbase.ExpungeConsoleCommandHistoryA #394
81164,755836a0,kernelbase.ExpungeConsoleCommandHistoryW #395
81168,755836c0,kernelbase.GetConsoleAliasA #499
8116c,75583700,kernelbase.GetConsoleAliasExesA #500
81170,75583790,kernelbase.GetConsoleAliasExesLengthA #501
81174,755837f0,kernelbase.GetConsoleAliasExesLengthW #502
81178,75583800,kernelbase.GetConsoleAliasExesW #503
8117c,755838f0,kernelbase.GetConsoleAliasW #504
81180,75583940,kernelbase.GetConsoleAliasesA #505
81184,755839f0,kernelbase.GetConsoleAliasesLengthA #506
81188,75583a80,kernelbase.GetConsoleAliasesLengthW #507
8118c,75583aa0,kernelbase.GetConsoleAliasesW #508
81190,75586220,kernelbase.GetConsoleWindow #530
81194,75583b70,kernelbase.GetConsoleCommandHistoryLengthA #511
81198,75583c00,kernelbase.GetConsoleCommandHistoryLengthW #512
8119c,75583c20,kernelbase.GetConsoleCommandHistoryW #513
811a0,75583ac0,kernelbase.GetConsoleCommandHistoryA #510
811a4,75585f60,kernelbase.GetConsoleFontSize #516
811a8,75585fb0,kernelbase.GetConsoleHistoryInfo #517
811ac,75586020,kernelbase.GetConsoleProcessList #524
811b0,755861d0,kernelbase.GetConsoleSelectionInfo #527
811b8,755507a0,kernelbase.GetTimeFormatA #869
811bc,755509e0,kernelbase.GetTimeFormatW #871
811c0,755502e0,kernelbase.GetDateFormatA #562
811c4,755505e0,kernelbase.GetDateFormatW #564
811cc,755508a0,kernelbase.GetTimeFormatEx #870
811d0,75550430,kernelbase.GetDateFormatEx #563
811d8,75550620,kernelbase.GetDurationFormatEx #579
811e0,75592790,kernelbase.OutputDebugStringA #1167
811e4,75592ac0,kernelbase.OutputDebugStringW #1168
811e8,754afc10,kernelbase.IsDebuggerPresent #1003
811ec,75542f90,kernelbase.DebugBreak #280
811f4,755926f0,kernelbase.DebugActiveProcessStop #279
811f8,755923d0,kernelbase.ContinueDebugEvent #186
811fc,75592690,kernelbase.DebugActiveProcess #278
81200,75592d40,kernelbase.WaitForDebugEvent #1929
81204,75592310,kernelbase.CheckRemoteDebuggerPresent #152
8120c,7558a5b0,kernelbase.DelayLoadFailureHook #285
81214,754aca00,kernelbase.ResolveDelayLoadedAPI #1541
8121c,754af460,kernelbase.RaiseException #1414
81220,77561000,kernel32.RestoreLastError #1283
81224,754916e0,kernelbase.GetErrorMode #593
81228,7559fa70,kernelbase.UnhandledExceptionFilter #1840
8122c,754aca50,kernelbase.SetUnhandledExceptionFilter #1722
81230,75491690,kernelbase.SetErrorMode #1630
81238,75597f00,kernelbase.GetThreadErrorMode #853
8123c,75597fe0,kernelbase.SetThreadErrorMode #1698
81244,754b3de0,kernelbase.FlsFree #434
81248,754aeaf0,kernelbase.FlsAlloc #433
8124c,754928c0,kernelbase.FlsSetValue #437
81254,754b1500,kernelbase.SwitchToFiber #1805
81258,754b0fe0,kernelbase.ConvertThreadToFiber #191
8125c,754b27e0,kernelbase.ConvertFiberToThread #189
81260,754b1c00,kernelbase.DeleteFiber #291
81264,754af5b0,kernelbase.CreateFiber #217
8126c,754b1000,kernelbase.ConvertThreadToFiberEx #192
81270,754af5e0,kernelbase.CreateFiberEx #218
81278,75591a60,kernelbase.UnlockFileEx #1842
8127c,754aef10,kernelbase.CompareFileTime #179
81280,755919f0,kernelbase.UnlockFile #1841
81284,7559ffa0,kernelbase.SetFileInformationByHandle #1639
81288,75591b80,kernelbase.WriteFileGather #1990
8128c,7559ad90,kernelbase.SetFileAttributesW #1638
81290,755973d0,kernelbase.RemoveDirectoryW #1526
81294,75597390,kernelbase.RemoveDirectoryA #1524
81298,75591900,kernelbase.SetFileTime #1644
8129c,755919a0,kernelbase.SetFileValidData #1645
812a0,75591860,kernelbase.ReadFileScatter #1432
812a4,755917b0,kernelbase.ReadFileEx #1431
812a8,754a5a70,kernelbase.ReadFile #1430
812ac,7559a490,kernelbase.QueryDosDeviceW #1372
812b0,75591710,kernelbase.LockFileEx #1099
812b4,75591690,kernelbase.LockFile #1098
812b8,755953e0,kernelbase.LocalFileTimeToFileTime #1087
812bc,754a5720,kernelbase.SetFilePointer #1641
812c0,75591ad0,kernelbase.WriteFileEx #1989
812c4,7559c7f0,kernelbase.GetVolumePathNameW #899
812c8,755881b0,kernelbase.GetVolumeInformationW #897
812cc,75587f60,kernelbase.GetVolumeInformationByHandleW #896
812d0,754ae3d0,kernelbase.SetFilePointerEx #1642
812d4,754a6620,kernelbase.WriteFile #1988
812d8,75492900,kernelbase.SetEndOfFile #1626
812dc,75597350,kernelbase.CreateDirectoryA #208
812e0,754aff20,kernelbase.CreateDirectoryW #211
812e4,75587a40,kernelbase.GetTempFileNameW #845
812e8,754b20c0,kernelbase.CreateFileA #222
812ec,75587640,kernelbase.GetLogicalDriveStringsW #653
812f0,754ae000,kernelbase.GetFullPathNameW #630
812f4,7559e8f0,kernelbase.GetFullPathNameA #629
812f8,75591200,kernelbase.GetFinalPathNameByHandleW #628
812fc,755910d0,kernelbase.GetFinalPathNameByHandleA #627
81300,754a67c0,kernelbase.GetFileType #617
81304,754b1480,kernelbase.GetFileTime #616
81308,754ac3a0,kernelbase.GetFileSizeEx #615
8130c,754ac350,kernelbase.GetFileSize #614
81310,754ad600,kernelbase.GetFileInformationByHandle #608
81314,75494280,kernelbase.GetFileAttributesW #607
81318,754a66f0,kernelbase.GetFileAttributesExW #606
8131c,7559ad10,kernelbase.GetFileAttributesExA #604
81320,7559acd0,kernelbase.GetFileAttributesA #603
81324,755872a0,kernelbase.GetDriveTypeW #578
81328,75587250,kernelbase.GetDriveTypeA #577
8132c,75586ee0,kernelbase.GetDiskFreeSpaceW #573
81330,754b0120,kernelbase.GetDiskFreeSpaceExW #572
81334,75586e90,kernelbase.GetDiskFreeSpaceExA #571
81338,75586e40,kernelbase.GetDiskFreeSpaceA #570
8133c,75591060,kernelbase.FlushFileBuffers #439
81340,7559bb60,kernelbase.FindVolumeClose #432
81344,7559b830,kernelbase.FindNextVolumeW #426
81348,75494420,kernelbase.FindNextFileW #424
8134c,7559e1b0,kernelbase.FindNextFileNameW #423
81350,7559e0b0,kernelbase.FindNextFileA #422
81354,7559e060,kernelbase.FindNextChangeNotification #421
81358,7559b6e0,kernelbase.FindFirstVolumeW #418
8135c,754942b0,kernelbase.FindFirstFileW #415
81360,7559dbb0,kernelbase.FindFirstFileNameW #414
81364,754942d0,kernelbase.FindFirstFileExW #413
81368,7559da60,kernelbase.FindFirstFileExA #411
8136c,7559d930,kernelbase.FindFirstFileA #410
81370,7559d830,kernelbase.FindFirstChangeNotificationW #409
81374,7559d7e0,kernelbase.FindFirstChangeNotificationA #408
81378,7559d7c0,kernelbase.FindCloseChangeNotification #407
8137c,754a6560,kernelbase.FindClose #406
81380,754a1e40,kernelbase.FileTimeToLocalFileTime #399
81384,7559b270,kernelbase.DeleteVolumeMountPointW #307
81388,754b0600,kernelbase.DeleteFileW #296
8138c,7559ab10,kernelbase.DeleteFileA #294
81390,75492c40,kernelbase.CreateFileW #228
81394,7559a0f0,kernelbase.DefineDosDeviceW #284
81398,7559ad50,kernelbase.SetFileAttributesA #1636
813a0,754b1760,kernelbase.GetTempPathW #849
813a4,7559c810,kernelbase.GetVolumePathNamesForVolumeNameW #900
813a8,75597410,kernelbase.CreateFile2 #219
813b0,7559ab50,kernelbase.GetCompressedFileSizeA #495
813b4,75597f80,kernelbase.SetFileIoOverlappedRange #1640
813b8,7559ab90,kernelbase.GetCompressedFileSizeW #496
813c0,7559de10,kernelbase.FindFirstStreamW #417
813c4,75587d80,kernelbase.GetTempPathA #848
813c8,75587930,kernelbase.GetTempFileNameA #844
813cc,75587da0,kernelbase.GetVolumeInformationA #895
813d4,7551b570,kernelbase.GetTempPath2A #846
813d8,7551b590,kernelbase.GetTempPath2W #847
813e0,75521e10,kernelbase.CreateDirectory2W #207
813e4,755234d0,kernelbase.DeleteFile2W #293
813e8,755227e0,kernelbase.RemoveDirectory2W #1523
813ec,75522800,kernelbase.CreateFile3 #221
813f0,75521db0,kernelbase.CreateDirectory2A #206
813f4,75522790,kernelbase.RemoveDirectory2A #1522
813f8,75523480,kernelbase.DeleteFile2A #292
81400,75535b30,kernelbase.ReadDirectoryChangesW #1429
81404,755979c0,kernelbase.CreateHardLinkW #230
81408,75535800,kernelbase.ReOpenFile #1416
8140c,7553cb40,kernelbase.GetFileInformationByHandleEx #609
81410,7553bda0,kernelbase.CreateDirectoryExW #209
81414,75539b90,kernelbase.CopyFileExW #196
81418,7553afa0,kernelbase.CreateSymbolicLinkW #262
8141c,755399d0,kernelbase.CopyFile2 #195
81420,75536ba0,kernelbase.ReplaceFileW #1536
81424,7553b350,kernelbase.MoveFileExW #1115
81428,7553bd50,kernelbase.MoveFileWithProgressW #1118
81430,7553cd10,kernelbase.OpenFileById #1146
81438,75597950,kernelbase.CreateHardLinkA #229
8143c,75539c70,kernelbase.CopyFileW #198
81444,755359e0,kernelbase.ReadDirectoryChangesExW #1428
8144c,754c5740,kernelbase.GetFileInformationByName #610
81454,754add70,kernelbase.DuplicateHandle #328
81458,754af4f0,kernelbase.GetHandleInformation #636
8145c,755944b0,kernelbase.SetHandleInformation #1647
81460,75492b70,kernelbase.CloseHandle #160
81468,7559f280,kernelbase.HeapUnlock #931
8146c,7559f150,kernelbase.HeapQueryInformation #926
81470,754b38f0,kernelbase.HeapSetInformation #928
81474,7559f100,kernelbase.HeapDestroy #923
81478,7559f0e0,kernelbase.HeapCompact #921
8147c,775650b0,kernel32.HeapReAlloc #892
81480,7753e7b0,kernelbase.HeapFree #924
81484,7753f220,kernel32.HeapAlloc #885
81488,754ae070,kernelbase.HeapCreate #922
8148c,7559f130,kernelbase.HeapLock #925
81490,7559f2d0,kernelbase.HeapWalk #933
81494,7559f2a0,kernelbase.HeapValidate #932
81498,7559f0c0,kernelbase.GetProcessHeaps #751
814a0,7548b0c0,kernelbase.LocalFree #1090
814a8,754c4d90,kernelbase.GlobalHandle #911
814ac,754c5610,kernelbase.LocalSize #1093
814b0,754c4e60,kernelbase.GlobalLock #912
814b4,754c5410,kernelbase.GlobalUnlock #916
814b8,754c4c60,kernelbase.GlobalFlags #909
814bc,754c52e0,kernelbase.GlobalSize #915
814c0,754c4f90,kernelbase.GlobalReAlloc #914
814c4,754c54f0,kernelbase.LocalFlags #1089
814cc,75597d50,kernelbase.GetQueuedCompletionStatus #775
814d0,75590fe0,kernelbase.CancelIoEx #128
814d4,754af130,kernelbase.DeviceIoControl #310
814d8,75597c30,kernelbase.GetOverlappedResult #695
814dc,75597b90,kernelbase.CreateIoCompletionPort #231
814e0,75597f40,kernelbase.PostQueuedCompletionStatus #1333
814e4,75597df0,kernelbase.GetQueuedCompletionStatusEx #776
814ec,75590fb0,kernelbase.CancelIo #127
