---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
81e94,77569e70,ntdll.RtlQueryPackageClaims #1376
81e98,775d0fb0,ntdll.RtlZombifyActivationContext #1657
81e9c,77571670,ntdll.RtlSubAuthorityCountSid #1540
81ea0,775661d0,ntdll.RtlActivateActivationContext #747
81ea4,7756efd0,ntdll.RtlpEnsureBufferSize #1666
81ea8,77568ec0,ntdll.RtlpApplyLengthFunction #1658
81eac,7755ad80,ntdll.RtlQueryActivationContextApplicationSettings #1354
81eb0,7756b480,ntdll.RtlGetActiveActivationContext #1069
81eb4,7756af30,ntdll.RtlDosPathNameToNtPathName_U_WithStatus #966
81eb8,77579b40,ntdll.NtCreateSection #329
81ebc,775d23a0,ntdll.DbgPrintEx #52
81ec0,77568f50,ntdll.RtlGetLengthWithoutLastFullDosOrNtPathElement #1108
81ec4,7756c330,ntdll.RtlGetFullPathName_U #1099
81ec8,77568b00,ntdll.RtlDeactivateActivationContext #915
81ecc,7753b080,ntdll.RtlMultiAppendUnicodeStringBuffer #1313
81ed0,7755bb50,ntdll.RtlAddRefActivationContext #767
81ed4,7757cf90,ntdll.isdigit #2430
81ed8,7757d4e0,ntdll.atol #2420
81edc,77581a20,ntdll.tolower #2492
81ee0,77581a50,ntdll.toupper #2493
81ee4,77565500,ntdll.RtlUnicodeStringToOemString #1582
81ee8,775d1c50,ntdll.CsrAllocateCaptureBuffer #37
81eec,77561080,ntdll.RtlCreateEnvironmentEx #884
81ef0,77581ec0,ntdll.wcsrchr #2516
81ef4,775697a0,ntdll.RtlCreateUnicodeString #902
81ef8,7752da00,ntdll.RtlDestroyEnvironment #947
81efc,77579b30,ntdll.NtQueryVolumeInformationFile #546
81f00,77561050,ntdll.RtlCreateEnvironment #883
81f04,77536220,ntdll.RtlIntegerToUnicodeString #1208
81f08,77579c00,ntdll.NtQueryEvent #501
81f0c,775e1140,ntdll.RtlFreeOemString #1059
81f10,7757adf0,ntdll.NtRaiseHardError #553
81f14,775297e0,ntdll.RtlGetCurrentDirectory_U #1079
81f18,775d1db0,ntdll.CsrClientCallServer #43
81f1c,775d1c70,ntdll.CsrAllocateMessagePointer #38
81f20,7753e780,ntdll.RtlFreeAnsiString #1055
81f24,77542ce0,ntdll.RtlEqualUnicodeString #1000
81f28,77565640,ntdll.RtlUnicodeStringToAnsiString #1578
81f2c,775710f0,kernel32.ExitThread #387
81f30,77573580,ntdll.RtlQueryProtectedPolicy #1388
81f34,775e0810,ntdll.RtlAddIntegrityLabelToBoundaryDescriptor #764
81f38,7757aee0,ntdll.NtReplacePartitionUnit #575
81f3c,775797f0,ntdll.NtQueryValueKey #544
81f40,77530c40,ntdll.RtlEqualSid #998
81f44,775798e0,ntdll.NtOpenThreadToken #470
81f48,7752dd60,ntdll.EtwEventWriteNoRegistration #83
81f4c,7753bbb0,ntdll.RtlFormatCurrentUserKeyPath #1051
81f50,77541090,ntdll.RtlInitUnicodeStringEx #1178
81f54,775798b0,ntdll.NtQueryInformationToken #513
81f58,77543460,kernel32.AcquireSRWLockExclusive #4
81f5c,77544090,ntdll.LdrLoadDll #153
81f60,77579750,ntdll.NtSetInformationThread #626
81f64,775433f0,kernel32.ReleaseSRWLockExclusive #1255
81f68,775402b0,ntdll.LdrUnloadDll #192
81f6c,775797a0,ntdll.NtOpenKey #451
81f70,77541000,ntdll.RtlAppendUnicodeToString #791
81f74,7756e220,ntdll.RtlSubAuthoritySid #1541
81f78,77569de0,ntdll.RtlQueryPackageIdentity #1377
81f7c,77618ad0,ntdll.RtlWow64LogMessageInEventLogger #1650
81f80,77533a20,kernelbase.ExitProcess #390
81f84,77548860,ntdll.RtlAppendUnicodeStringToString #790
81f88,77527c30,ntdll.LdrGetProcedureAddress #143
81f8c,77530980,ntdll.RtlInitializeSid #1199
81f90,7757a9d0,ntdll.NtOpenProcessToken #461
81f94,775e47b0,ntdll.RtlQueryRegistryValuesEx #1391
81f98,775333a0,ntdll.RtlCompareUnicodeString #841
81f9c,7752cbb0,ntdll.RtlOemStringToUnicodeSize #1338
81fa0,77565160,ntdll.RtlInitAnsiStringEx #1165
81fa4,7753ea70,ntdll.RtlAnsiStringToUnicodeString #786
81fa8,775f6700,ntdll.RtlIsNameLegalDOS8Dot3 #1253
81fac,775942d0,ntdll.RtlGetCurrentThreadPrimaryGroup #1084
81fb0,775796c0,ntdll.NtWaitForSingleObject #692
81fb4,77579b20,ntdll.NtCreateEvent #303
81fb8,775810f0,ntdll.strlen #2474
81fbc,77614570,ntdll.RtlSetSearchPathMode #1505
81fc0,7752cc10,ntdll.LdrGetDllDirectory #134
81fc4,77553aa0,ntdll.RtlLockHeap #1295
81fc8,77552cb0,ntdll.RtlUnlockHeap #1592
81fcc,77567970,ntdll.RtlGetUserInfoHeap #1146
81fd0,7757ee90,ntdll._wcsnicmp #2404
81fd4,775812d0,ntdll.strncmp #2477
81fd8,7757e820,ntdll._strnicmp #2380
81fdc,775e9e90,ntdll.RtlCompactHeap #834
81fe0,775f1e80,ntdll.RtlDeregisterSecureMemoryCacheCallback #942
81fe4,775f1f70,ntdll.RtlRegisterSecureMemoryCacheCallback #1424
81fe8,775799d0,ntdll.NtOpenFile #448
81fec,77579a30,ntdll.NtFsControlFile #392
81ff0,77579770,ntdll.NtClose #278
81ff4,7757ed50,ntdll._wcsicmp #2401
81ff8,7755be10,ntdll.LdrAddRefDll #119
81ffc,77581c50,ntdll.wcslen #2508
82000,77579790,ntdll.NtQueryInformationFile #507
82004,775882e0,ntdll.wcscpy_s #2506
82008,77579910,ntdll.NtSetInformationFile #618
8200c,77572a70,ntdll.RtlGetActiveConsoleId #1070
82010,77560e70,ntdll.RtlNtStatusToDosError #1329
82014,7753ab30,ntdll.RtlDeactivateActivationContextUnsafeFast #10
82018,7753aa90,ntdll.RtlActivateActivationContextUnsafeFast #9
8201c,7753e780,ntdll.RtlFreeAnsiString #1055
82020,7757b100,ntdll.NtSetInformationDebugObject #616
82024,775cba60,ntdll.DbgUiGetThreadDebugObject #62
82028,775cba80,ntdll.DbgUiIssueRemoteBreakin #63
8202c,7757b260,ntdll.NtSetSystemInformation #642
82030,77565400,ntdll.RtlGetCurrentTransaction #1085
82034,77579810,ntdll.NtQueryInformationProcess #510
82038,77563400,ntdll.RtlSetCurrentTransaction #1480
8203c,77561000,kernel32.RestoreLastError #1283
82040,77572a20,ntdll.RtlSetUserCallbackExceptionFilter #1522
82044,7756f260,ntdll.RtlSetProtectedPolicy #1502
82048,7755e380,ntdll.RtlGetSuiteMask #1131
8204c,7754c240,ntdll.RtlImageNtHeader #1157
82050,7755bdc0,ntdll.LdrDisableThreadCalloutsForDll #125
82054,7757be20,ntdll.RtlInitUnicodeString #1177
82058,77573a70,ntdll.WinSqmEventEnabled #1791
8205c,7756eb90,ntdll.LdrQueryImageFileExecutionOptions #163
82060,7757ec60,ntdll._vsnwprintf #2398
82064,77573030,ntdll.LdrSetDllManifestProber #183
82068,7752e980,ntdll.RtlCreateSecurityDescriptor #896
8206c,77530d50,ntdll.RtlSetGroupSecurityDescriptor #1488
82070,77530240,ntdll.RtlCreateAcl #877
82074,7753e7b0,kernelbase.HeapFree #924
82078,775799c0,ntdll.NtEnumerateKey #371
8207c,775e71d0,ntdll.RtlpConvertLCIDsToCultureNames #1663
82080,775e5e20,ntdll.RtlGetUILanguageInfo #1143
82084,77564f90,ntdll.RtlUnicodeStringToInteger #1580
82088,7753ae70,ntdll.RtlLCIDToCultureName #1272
8208c,775619d0,kernel32.HeapSize #894
82090,775e6fe0,ntdll.RtlpConvertCultureNamesToLCIDs #1662
82094,775d1dd0,ntdll.CsrFreeCaptureBuffer #45
82098,7757ac60,ntdll.NtQueryInstallUILanguage #517
8209c,7753b050,ntdll.RtlAddAccessAllowedAce #749
820a0,7755b090,ntdll.TpAllocTimer #1716
820a4,775605e0,ntdll.TpAllocIoCompletion #1713
820a8,7755c220,ntdll.TpAllocWork #1718
820ac,77560a80,ntdll.TpCallbackMayRunLong #1724
820b0,77572910,ntdll.TpAllocCleanupGroup #1712
820b4,7755efd0,ntdll.TpSimpleTryPost #1763
820b8,7760c700,ntdll.TpQueryPoolStackInformation #1740
820bc,7755d3b0,ntdll.TpAllocPool #1715
820c0,77573610,ntdll.TpSetPoolMinThreads #1754
820c4,77560e50,ntdll.RtlSetLastWin32ErrorAndNtStatusFromNtStatus #1494
820c8,77573bb0,ntdll.TpSetPoolStackInformation #1755
820cc,7755ac40,ntdll.TpAllocWait #1717
820d0,775536d0,ntdll.RtlQueryEnvironmentVariable #1363
820d4,7755daf0,ntdll.RtlGetVersion #1148
820d8,7757a490,ntdll.NtDeleteValueKey #358
820dc,77579ca0,ntdll.NtSetValueKey #651
820e0,77581ab0,ntdll.towlower #2494
820e4,77541e30,ntdll.RtlGetCurrentServiceSessionId #1083
820e8,7756aaa0,ntdll.RtlGetPersistedStateLocation #1121
820ec,7752ab50,ntdll.RtlCharToInteger #813
820f0,7757bde0,ntdll.RtlInitAnsiString #1164
820f4,7756e200,ntdll.RtlUpcaseUnicodeChar #1603
820f8,775642b0,ntdll.RtlFlsGetValue #1047
820fc,77565740,ntdll.RtlUnicodeToMultiByteSize #1586
82100,775e05f0,ntdll.RtlDestroyAtomTable #946
82104,775797c0,ntdll.NtFindAtom #379
82108,7757abc0,ntdll.NtQueryInformationAtom #503
8210c,77564890,ntdll.RtlAddAtomToAtomTable #758
82110,77579d30,ntdll.NtAddAtomEx #222
82114,7757a420,ntdll.NtDeleteAtom #351
82118,775647c0,ntdll.RtlCreateAtomTable #880
8211c,775294d0,ntdll.RtlDeleteAtomFromAtomTable #927
82120,77564a30,ntdll.RtlLookupAtomInAtomTable #1302
82124,7752bc70,ntdll.RtlQueryAtomInAtomTable #1358
82128,775e0fc0,ntdll.RtlDnsHostNameToComputerName #959
8212c,775732f0,ntdll.RtlPrefixString #1348
82130,7757a5c0,ntdll.NtFlushKey #384
82134,7757e3b0,ntdll._memicmp #2367
82138,775655e0,ntdll.RtlUnicodeStringToOemSize #1581
8213c,77553bd0,kernel32.EnterCriticalSection #341
82140,77581b60,ntdll.wcschr #2503
82144,77581f60,ntdll.wcsstr #2518
82148,77552bd0,kernel32.LeaveCriticalSection #1006
8214c,77579870,ntdll.NtCreateKey #311
82150,7753b740,ntdll.RtlCreateUnicodeStringFromAsciiz #903
82154,77581c00,ntdll.wcscspn #2507
82158,7757a1f0,ntdll.NtCreateJobSet #310
8215c,775da2b0,ntdll.RtlReleasePrivilege #1431
82160,7757b130,ntdll.NtSetInformationJobObject #620
82164,7757ac00,ntdll.NtQueryInformationJobObject #508
82168,7757a1e0,ntdll.NtCreateJobObject #309
8216c,775d9480,ntdll.RtlAcquirePrivilege #741
82170,77579fb0,ntdll.NtAssignProcessToJobObject #265
82174,7757b3c0,ntdll.NtTerminateJobObject #666
82178,7757a940,ntdll.NtOpenJobObject #450
8217c,7756e240,ntdll.RtlLengthSecurityDescriptor #1284
82180,7757b0a0,ntdll.NtSetEaFile #608
82184,7757b230,ntdll.NtSetSecurityObject #639
82188,7757aba0,ntdll.NtQueryEaFile #500
8218c,7757ad20,ntdll.NtQuerySecurityObject #533
82190,775286c0,ntdll.LdrQueryImageFileKeyOption #165
82194,7756cb30,ntdll.LdrOpenImageFileOptionsKey #156
82198,77572390,ntdll.RtlQueryElevationFlags #1362
8219c,77579860,ntdll.NtSetInformationProcess #623
821a0,775b21a0,ntdll.RtlRaiseStatus #1408
821a4,77579bb0,ntdll.NtQuerySection #531
821a8,77579880,ntdll.NtFreeVirtualMemory #389
821ac,77579700,ntdll.NtWriteFile #717
821b0,775797b0,ntdll.NtEnumerateValueKey #374
821b4,7752b000,ntdll.RtlEqualString #999
821b8,775657e0,ntdll.RtlUnicodeToMultiByteN #1585
821bc,77587f60,ntdll.strncpy_s #2479
821c0,7757b470,ntdll.NtUnlockFile #680
821c4,7756aee0,ntdll.RtlDosPathNameToNtPathName_U #965
821c8,775796e0,ntdll.NtReadFile #554
821cc,7757a7e0,ntdll.NtLockFile #423
821d0,77535eb0,ntdll.RtlCopyUnicodeString #874
821d4,77562cd0,ntdll.RtlIsTextUnicode #1263
821d8,77579800,ntdll.NtAllocateVirtualMemory #238
821dc,77573aa0,ntdll.RtlGetLongestNtPathLength #1111
821e0,775430d0,ntdll.RtlPrefixUnicodeString #1349
821e4,77567270,ntdll.RtlMultiByteToUnicodeN #1314
821e8,7753e8b0,ntdll.RtlMultiByteToUnicodeSize #1315
821ec,77566e20,ntdll.RtlDosPathNameToRelativeNtPathName_U #967
821f0,7756a5e0,ntdll.RtlReleaseRelativeName #1432
821f4,7760e130,ntdll.RtlSetIoCompletionCallback #1492
821f8,7760e110,ntdll.RtlDeregisterWait #943
821fc,7755cfd0,ntdll.RtlRegisterWait #1426
82200,7754ebe0,ntdll.RtlImageDirectoryEntryToData #1156
82204,775798d0,ntdll.NtQueryVirtualMemory #545
82208,7752c170,ntdll.RtlCreateBoundaryDescriptor #882
8220c,77579ba0,ntdll.NtProtectVirtualMemory #486
82210,77618fa0,ntdll.RtlGetThreadErrorMode #1138
82214,7757a230,ntdll.NtCreateMailslotFile #315
82218,775b1b70,ntdll.RtlExtendedLargeIntegerDivide #1016
8221c,775cd540,ntdll.RtlDestroyQueryDebugBuffer #953
82220,775cd6d0,ntdll.RtlQueryProcessDebugInformation #1383
82224,775cd390,ntdll.RtlCreateQueryDebugBuffer #894
82228,775799f0,ntdll.NtQueryDirectoryFile #496
8222c,77587e00,ntdll.strcpy_s #2472
82230,7753d3c0,ntdll.RtlFindActivationContextSectionString #1025
82234,77569690,ntdll.LdrSetDllDirectory #182
82238,7754c270,ntdll.LdrFindResource_U #132
8223c,7755dda0,ntdll.RtlSwitchedVVI #1546
82240,7757a750,ntdll.NtIsSystemResumeAutomatic #414
82244,7757ada0,ntdll.NtQueryWnfStateData #547
82248,77579c90,ntdll.NtPowerInformation #476
8224c,7757a740,ntdll.NtInitiatePowerAction #412
82250,7757a680,ntdll.NtGetDevicePowerState #398
82254,7757b290,ntdll.NtSetThreadExecutionState #645
82258,7757b250,ntdll.NtSetSystemEnvironmentValueEx #641
8225c,7757ad70,ntdll.NtQuerySystemEnvironmentValueEx #538
82260,7757bda0,ntdll.RtlInitString #1172
82264,7757b2e0,ntdll.NtSetVolumeInformationFile #652
82268,7757ad80,ntdll.NtQuerySystemInformationEx #540
8226c,775796f0,ntdll.NtDeviceIoControlFile #361
82270,775798f0,ntdll.NtQueryInformationThread #512
82274,7756c480,ntdll.RtlUnsubscribeWnfStateChangeNotification #1601
82278,7755ea60,ntdll.RtlSubscribeWnfStateChangeNotification #1543
8227c,7755e820,ntdll.RtlQueryWnfStateData #1402
82280,77580f40,ntdll.strchr #2469
82284,77618b90,ntdll.RtlSetEnvironmentStrings #1483
82288,7752cad0,ntdll.RtlOemStringToUnicodeString #1339
8228c,77588250,ntdll.wcscat_s #2502
82290,775678a0,ntdll.RtlAllocateAndInitializeSid #777
82294,77579a70,ntdll.NtQueryAttributesFile #489
82298,7756f800,ntdll.RtlFreeSid #1060
8229c,77581590,ntdll.strrchr #2482
822a0,7757abb0,ntdll.NtQueryFullAttributesFile #502
822a4,7756bad0,ntdll.TpCaptureCaller #1732
822a8,7757e770,ntdll._strcmpi #2376
822ac,7757b2c0,ntdll.NtSetTimerResolution #649
822b0,7757ad90,ntdll.NtQueryTimerResolution #543
822b4,775d9b00,ntdll.RtlGetAppContainerSidType #1073
822b8,7753b800,ntdll.RtlConvertSidToUnicodeString #859
822bc,775299a0,ntdll.RtlSetEnvironmentVariable #1485
822c0,775d9a50,ntdll.RtlGetAppContainerParent #1072
822c4,77543940,ntdll.RtlRunOnceExecuteOnce #1464
822c8,77562400,kernel32.InitializeCriticalSection #910
822cc,77565470,ntdll.RtlTryAcquirePebLock #1567
822d0,77552e10,ntdll.RtlReleasePebLock #1430
822d4,77541d40,ntdll.RtlGetNtSystemRoot #1117
822d8,77579c50,ntdll.NtWaitForMultipleObjects #691
822dc,77579a80,ntdll.NtClearEvent #277
822e0,775cf7d0,ntdll.RtlWerpReportException #1640
822e4,77536fd0,ntdll.RtlGetThreadPreferredUILanguages #1140
822e8,775530b0,ntdll.LdrResSearchResource #176
822ec,77581db0,ntdll.wcsnlen #2514
822f0,77587d80,ntdll.strcat_s #2468
822f4,775814b0,ntdll.strnlen #2480
822f8,77637145,ntdll.NlsMbCodePageTag #209
822fc,77579b60,ntdll.NtApphelpCacheControl #263
82300,7756c360,ntdll.RtlGetFullPathName_UEx #1100
82304,775650b0,kernel32.HeapReAlloc #892
82308,77579770,ntdll.NtClose #278
8230c,775799d0,ntdll.NtOpenFile #448
82310,775797a0,ntdll.NtOpenKey #451
82314,775799c0,ntdll.NtEnumerateKey #371
82318,775797f0,ntdll.NtQueryValueKey #544
8231c,77579bf0,ntdll.NtCreateFile #305
82320,77579790,ntdll.NtQueryInformationFile #507
82324,77579b40,ntdll.NtCreateSection #329
82328,775799f0,ntdll.NtQueryDirectoryFile #496
8232c,776182e0,ntdll.RtlNtPathNameToDosPathName #1328
82330,77536390,ntdll.RtlUpcaseUnicodeString #1604
82334,7757b5f0,ntdll.RtlGetNativeSystemInformation #1113
82338,77579a00,ntdll.NtQuerySystemInformation #539
8233c,77579940,ntdll.NtUnmapViewOfSection #682
82340,77579920,ntdll.NtMapViewOfSection #434
82344,7756b0c0,kernel32.VerSetConditionMask #1535
82348,775f7890,ntdll.RtlVerifyVersionInfo #1628
8234c,775797b0,ntdll.NtEnumerateValueKey #374
82350,77569850,ntdll.LdrGetDllHandle #136
82354,7756c1c0,ntdll.ApiSetQueryApiSetPresence #35
82358,77530ce0,ntdll.RtlSetDaclSecurityDescriptor #1481
8235c,77579a00,ntdll.NtQuerySystemInformation #539
82360,7753f220,kernel32.HeapAlloc #885
82364,77530c80,ntdll.RtlSetOwnerSecurityDescriptor #1496
82368,7757d110,ntdll._alldiv #2327
8236c,7757d2b0,ntdll._allmul #2329
82370,7757d2f0,ntdll._chkstk #2341
82374,7757dd30,ntdll._libm_sse2_cos_precise #2357
82378,7757def0,ntdll._libm_sse2_sin_precise #2358
8237c,7757f8f0,ntdll.floor #2426
82380,7757fcd0,ntdll.memcmp #2452
82384,7757fd30,ntdll.memcpy #2453
82388,775803d0,ntdll.memset #2457
---
IAT at: b09b8, size: 8, thunks: 1, is_terminated: 1, in_main: 0
---
b09b8,77569f80,ntdll.RtlQueryFeatureConfiguration #1365
---
IAT at: b09e4, size: c, thunks: 1, is_terminated: 1, in_main: 0
---
b09e4,757e9740,user32.WaitForInputIdle #2487
