---
IAT at: e1000, size: 588, thunks: 145, is_terminated: 1, in_main: 1
---
e12e0,7577a130,user32.ClipCursor #1588
e12e4,757e0020,user32.ChangeDisplaySettingsExA #1544
e12e8,7577aed0,user32.RedrawWindow #2233
e12ec,75765160,user32.GetClientRect #1813
e12f0,75765040,user32.MapWindowPoints #2143
e12f4,7576b8a0,user32.IsWindowVisible #2094
e12f8,75764d10,user32.GetWindowLongA #1991
e12fc,75778260,user32.IsRectEmpty #2078
e1300,7576f450,user32.GetSystemMetrics #1960
e1304,757ef550,user32.GetMonitorInfoA #1901
e1308,757dfff0,user32.ChangeDisplaySettingsA #1543
e130c,75763ac0,user32.IsWindow #2088
e1310,757f1ea0,user32.CopyRect #1601
e1314,757760e0,user32.OffsetRect #2171
e1318,75775e10,user32.ScreenToClient #2279
e131c,75778630,user32.SetRect #2359
e1320,757e0410,user32.EnumDisplaySettingsA #1763
e1324,75777bc0,user32.ReleaseDC #2267
e1328,75778830,user32.GetDC #1828
e132c,75778cd0,user32.EqualRect #1775
e1330,75778360,user32.IntersectRect #2051
e1334,7577b400,user32.SetWindowPos #2390
e1338,7577aad0,user32.InvalidateRect #2052
e1340,75592ac0,kernelbase.OutputDebugStringW #1168
e1344,75592790,kernelbase.OutputDebugStringA #1167
e1348,75542f90,kernelbase.DebugBreak #280
e1350,7558a5b0,kernelbase.DelayLoadFailureHook #285
e1358,754aca00,kernelbase.ResolveDelayLoadedAPI #1541
e1360,75491690,kernelbase.SetErrorMode #1630
e1364,754928b0,kernelbase.GetLastError #646
e1368,7559fa70,kernelbase.UnhandledExceptionFilter #1840
e136c,754af460,kernelbase.RaiseException #1414
e1370,754aca50,kernelbase.SetUnhandledExceptionFilter #1722
e1378,754a5720,kernelbase.SetFilePointer #1641
e137c,754a5a70,kernelbase.ReadFile #1430
e1380,754b20c0,kernelbase.CreateFileA #222
e1388,75492b70,kernelbase.CloseHandle #160
e1390,754a1bb0,kernelbase.GetProcessHeap #750
e1394,7753f220,kernel32.HeapAlloc #885
e1398,7753e7b0,kernelbase.HeapFree #924
e13a0,7548d2a0,kernelbase.LocalAlloc #1086
e13a4,7548b0c0,kernelbase.LocalFree #1090
e13a8,754a5910,kernelbase.GlobalFree #910
e13ac,754a4c50,kernelbase.GlobalAlloc #908
e13b0,754ac920,kernelbase.LocalReAlloc #1092
e13b8,754c5410,kernelbase.GlobalUnlock #916
e13bc,754c4e60,kernelbase.GlobalLock #912
e13c4,7559e660,kernelbase.LoadStringA #1082
e13c8,754936f0,kernelbase.GetModuleHandleExW #673
e13cc,754938e0,kernelbase.LoadLibraryExA #1077
e13d0,75494190,kernelbase.GetProcAddress #744
e13d4,75493830,kernelbase.GetModuleHandleA #671
e13d8,754a4dc0,kernelbase.GetModuleFileNameA #667
